Link ID,6:00-6:15,6:15-6:30,6:30-6:45,6:45-7:00,7:00-7:15,7:15-7:30,7:30-7:45,7:45-8:00,8:00-8:15,8:15-8:30,8:30-8:45,8:45-9:00,9:00-9:15,9:15-9:30,9:30-9:45,9:45-10:00,
35823,0.189962721,0.314433847,0.391392956,0.866537161,2.853958553,2.480754884,7.242010189,3.015781724,6.747971627,1.42973629,4.089445476,7.077941273,14.42753586,1.185585193,1.165970864,0.741006633,
35824,1.029785696,2.530998713,4.220579574,3.90593639,5.894960376,9.026307591,9.689375866,17.89719719,27.19434759,24.64608941,17.16137568,19.87180953,11.89278028,6.513651954,3.06882453,1.722804008,
35834,0.41226101,0.510233245,1.395908075,0.357614875,1.233844792,10.80598309,11.83189645,4.090050267,2.605145617,5.480747625,17.80950973,15.81333269,4.830609789,1.994825239,1.181193302,0.285189004,
35835,1.223634707,3.438000282,4.710600294,3.606673748,7.820809077,7.579082522,4.8840707,8.822983235,11.29201968,6.616574354,7.572106562,15.9378374,2.889938534,7.904413142,2.320243412,1.518084737,
35836,1.037038965,3.296757512,4.333824032,17.73265386,19.70891979,7.814981746,3.014412903,2.193943347,5.939194764,5.396684558,71.50892988,16.83717905,7.455136106,13.51461754,4.401294317,0.802018632,
35837,7.7333938,15.62240439,44.06758706,37.03364011,12.40448294,26.37997405,23.60903687,10.09714151,17.1137142,52.85332531,44.29995908,98.84138485,85.62952705,25.59306783,16.80549103,41.22549531,
35856,2.590128163,6.481839623,10.75548186,8.911929172,26.01702575,31.1009148,19.2386557,21.57521036,25.1706579,22.69525956,35.54477621,42.18285547,8.715484591,8.138324101,6.831205854,0.125239227,
35857,2.588256724,12.61690354,14.28659443,37.05988561,37.04351427,15.17551811,13.63531539,13.84475322,30.03145945,47.50296232,84.5929258,71.27982207,21.11354278,24.46784617,8.914904689,1.603509243,
35858,8.83210379,10.87247351,35.91171212,159.364547,21.87450028,6.622119568,18.3918598,16.6507471,10.71172271,12.98177907,10.33098409,11.28974424,5.036388065,8.530729384,3.819304341,0.31435052,
35862,0.284185399,1.252198768,0.497501755,0.929240372,6.717956022,2.579578432,1.203647469,4.981469916,5.530186115,0.661955298,1.077977345,1.544297855,0,0.423952916,0.208264256,0,
